Yorum,Label
piyasada fiyat olarak bilinen alınabilecek iyisi bence cihaz gönül rahatligiyla şarjina guvenebilirsiniz hızlı olmasa bile uzun ömürlü bir cihaz tavsiye ederim,1
hızlı kargo tşkler 1 gün sonra geldi,1
zamanda artik telefona cok para vermeye gerek olmadigini kanitlayan oldukca basarili dahiyane bir model onceki telefonum aldigim donemin iyisiydi inanin farki yokmuthis bataryasi varhafizasi derseniz harici alip takin muthis telefon,1
iyi gunler siparis verecemde hafiza karti yolluyor musunuz,1
akşam sipariş verdim sabah kargo getirdi teşekkürler hepsiburada fiyata performans cep telefonu zor bulunur 2 aydır kullanıyorum hiçbir sorun yok parasını fazlasıyla hak ediyor herkese tavsiye ederim,1
nihayet bir akıllı telefonun şarj sorunu çözüldü hemde fiyata internet kullanımı birlikte şarjı 4 gün gidiyor,1
teşekkürler,1
şarjı bitmeyen telefon olur yahuvallahi utanıp bitmeden kendim takıyorum şarja etrafındaki iphonecileri çatlatmak istiyorsan kesin al yoğun kullanımda 2 gün neti kapat 10 gün gider şarj,1
ürün gayet güzel teslimat belirtilen zamandan önce yapıldı teşekkürler,1
1 aydır kullanıyoruz tek sıkıntı yok paket içeriğinden 32gblik sd kart çıktı guzel,1
ürünüm süper hızlı bir şekilde iyi ambalajlanmış sağlam açıklamalarda anlatıldığı orijinal ürün olarak elime ulaştı şarjı sürekli oyun oynanmıyorsa 2 gün gidiyor ilk kurulumdan sonra yeni güncellemeler hemen geldi model olarak kullanım ihtiyaçlarım açısından yeterli zaten istediğim bir üründü iyi almışımteşekkür ederim,1
telefon oldukca iyi bataryasi uzun sureli gidiyor fotograf iyi herkese tavsiye ederim,1
bütçeye kişinin yapisina göre telefon üretiyorlar helal olsun sirf bataryasi bir telefon eder fazla hizli degil🤨,1
telefon fiyatına göre iyi herkesle tavsiye ederim,1
herkese merhabalar 1 aydır telefonu aktif bir şekilde kullanıyorum telefonun bataryası zaten söylemeye gerek yok efsane rahat 2 gün götürüyor telefon sosyal medyada gezinirken işlerinizi yaparken kasma donma takılma yapmıyor pubg mobileı ilk açılışta kendisi orta ayarlarda açıyor ben orta ayarlarda oynamadım düşük akıcı ayarda oynarken herhangi bir kasma donma takıma yaşanmıyor son derece akıcı oynanıyor telefonun tasarımı görünüşü güzel ekran gayet net yanında hediye olarak 32 gb samsung hafıza kartı gönderildi telefonun paketlenmesi özenliydi tarafı havalı poşetlerle satılmıştı arka kamerası gayet güzel portre modu önde arkada var gayet iyi çalışıyor segmente göre arka kamera geniş açılı çekim yapabiliyor hoşuma gitti ön kamera orta seviyede muazzam bi ön kamerası yok ışıklı ortamda kullanıcısını üzmez eyyamlamam kadar,1
aynı gün kargoya verildi sorunsuz olarak ürünü aldık,1
telefon kullanışlı sarj süper hızlı kargo güvenle alinabilir,1
on üzerinden 9,1
ceptelefonuonline satıcısından aldım gayet hızlı doğru geldi kontrol ettim kayıtlı teşekkürler,1
teşekkürler ürün gerçekten iyiymiş sipariş tam istediğim geldi,1
süper hız,1
2 günde elime ulaştı satıcı kaliteli kutu bandröllü açılmamış kargo firması kutuda herhangibir deforme olmadan getirdi cumbaz satıcısından aldım yanında ekran koruyucu hediye koymuşlar teşekkürler,1
telefon güzel fiyata alabileceğiniz iyi cihaz,1
cihazı annem hediye olarak satın aldım ekran kalitesi beklediğimin üzerinde çıktı samsungun amoled panelleri kadar canlı bir lcd panel kullanmışlar tek kendi hoparlörü biraz zayıf geldi 100tl pahalı olsaydı kendi cihazım galaxy s9 plus stereo olsaydı dedittirdi onun dışında 5000mah bataryası telefonu elinize almadığınızda günde 2 düşüyor buda ortalama 50 gün stamina süresi demek işletim sistemi ilk açtığımda android oreoydu güncellemeleri denetle dedikten sonra android pie kendini yükseltti sistem tam otursun güncelleme sonrası recovery den wipe datacache yapıp sıfırdan tekrar kurulumunu gerçekleştirdim sosyal medya video izleme istiyorum şarjı iyi gitsin diyenler biçilmiş kaftan,1
bittibitiyor satıcısından aldım özenli paketleme olabilirdi kutusu hafif yamulmuştu telefon gayet güzel şarjı süper,1
polatlı’ya 1 günde ulaştı teşekkürler telefonu anneme aldım bataryası güzel kamerası gündüz fevkalade karanlıkta biraz düşebiliyor doğal olarak fiyata iyisi olamazdı zaten teşekkürler,1
fiyatına göre gayet iyi ayrıyetten 32 gb hafıza kartı geldi kaçak köçük işlerle uğraşmadan çocuklarınıza alınacak telefom,1
samsung ismine güvenerek aldım doğru karar verdiğimi anladım tavsiye ederim 👏👏👏👍👍👍 gayet kullanışlı bataryası harika babama aldım telefonu 1 ay önce kendisi memnun satıcı firma burada teşekkürler,1
tek kelime enfes beğendim,1
kargo biraz gecikti paketleme vs herşey gayet güzel şarj iyi dayanıyor kamera söylenenler kadar kötü değil,1
ürünün tek kötülüğü söylecek olursam video modu tek cekim agır hızlı çekim söyle böyle modlarını bulamadım kamerası hızlı cekmeye alışık bir kamera değil durup foto çekerseniz net güzel makul kareler yakalamak mümkün tek hoparlör çıkışı olmasına rağmen ses çıkışı tatmin edici şarj konusunda 17dakıkada 1 düşüş oluyor demek oluyor uzun süre sarj dayanıyor hafifliği kullanımı gayet güzel yüz taramasıyla anlık tuş kilit açma hızı fevkalade,1
fiyat olarak uygun vede yapacağınız işlemlere göre super,1
iyi,1
satıcı 10 numara orijinal ürün,1
kesinlikle alın şarj süper,1
iyi,1
ürün gerçekten fiyatının hakkını veriyor herkes öneririm hafıza kartı söylendiği geldi samsung tan süper bir şekilde paketlemişler iki kutunun içine koymuşlar telefonun özelliklerine gelirsek anlatıldığı hakkını veriyorbuyuk biraz alacakların bilgisine koruma camı kılıf almanızı oneririm,1
kampanyalı olarak aldım ürünle beraber 32 gb samsung evo hafıza kartı hediye geldi tekrar verirler mi bilmiyorum parmak okuyucu yüz tanıma kolay çalışıyor ekran aydınlatması ışık şiddetine göre kendi ayarlıyor 2 amperlik şarj cihazı geliyor ilk sarj telefon ısınıyor paketleme gayet güzeldi günlük kullanım içi ideal giriş segmenti ideal tavsiye ederim yanında kılıf ekran koruyucu almayı unutmayıntelefon hepsiburadan alınır,1
xiaomi resmi note 7 m20 arasında kaldım ses performansı isterseniz m20 kamera isterseniz note 7 pil performansı isterseniz m20 işlemci ram derseniz resmi note 7 ekran güzelliği grafik birimi isterseniz m20 arayüz isterseniz m20 benim ihtiyaçlarımın hepsini m20 karşıladığı m20 aldım kasmadan pil sıkıntısı olmadan2 gün pil ömrü var kullanıyorum,1
fiyat performans telefonu süper iyisi,1
samsung a teşekkürler diğer telefonlarda ara sıra indirime giderse süper olur hafıza kartı teşekkür ayrıca,1
hakkını veriyor fazla düşünmeden alın,1
fiyatina göre iyi telefon note serisinden m20 e geçmek alışmak zor oluyor fiyata alinabilecek iyi telefon batarya 2 gün gidiyor ısınma yok,1
ürünü anneme dogum gunu icin aldim cok begendim 4bin 5bin tl’lik telefonlara benziyor parlakligi ekran renkleri islemci hızı bir cok özelliği cok iyi kargo cok hizli geldi sey mukemmel,1
ürün hiçbir sorun çıkmadan elimize ulaştı gayet güzel bir telefon üründe hiçbir sorun yok teşekkürler,1
ekran küçük büyük ideal görüntü kalitesi normal yeterli fiyat iyi özellikler iyifarklı renk seçenekleri olsa iyi olacak,1
kampanyayı tekrar bekliyorum 2 adet alacağım,1
kampanyadan aldım ilk izlenim güzel kargo mükemmel muhafaza kargoya verildikten 16 saat sonra elime geçti teşekkürler samsung kampanya hepsiburadaya teşekkürler ısparta,1
ürün oldukça fiyat performans açısından alınabilir,1
telefon güzel herkese öneririm,1
gözden kaçan bir ürün rakiplerinden fiyat açısından yüksek samsung ürüne ekleyerek indirim yaparak satabilir ornekverecek olursak ürünü ekran kırılmada ücretsiz onarim verebilir,1
alalı üç ay oldu şarj süresi mükemmel kamera güzel fiyata alabileceğiniz iyi telefon,1
satıcı firma ekran koruyucu icine koymus 1gun sonra teslim oldu urun kamera kasa pil harika ben beğendim,1
ürünün iyi özelliği 5000mah batarya normal kullanımda 2 güne kadar kullanabilirsiniz ekran olsun kamera olsun fiyata alınabilecek güzel telefon an a70 kullanıyorum a70e göre telefon bayağı kalın hantal,1
telefonun özelliğine diyecek yok sıkıntısız elimize ulaştı değinmek istediğim konu elimize ulaşma süresi pazartesi kargoya verildi salı günü ulaştı emeği geçen herkese teşekkürler,1
bence fiyatına göre iyi bir telefon 👏👏👍 pili gayet uzun ömürlü 3 gün bile sürüyor tek şarjla hangi bir problem yok 👍👍 gayet başarılı bir telefon,1
2 günde geldi hızlı özenli kargo teşekkürler,1
gelecekbizde mağazadan aldım memnun kaldım bir günde elime ulaştı paketleme güzeldi korunaklı göndermişler hoşuma gitti tavsiye ederim,1
sepette indirim yapmayı düşünüyormusunuz yakın zamanda,1
fiyatına göre alınacak iyi telefon diyebilirimsatıcıda bekletmeyip zamanında kargomu gönderdi,1
fiyatına özelliğine göre iyi,1
gayet başarılı izmir,1
samsung galaxy m20 32 gb samsung türkiye garantili ıyi güzel,1
arkadaslar hepsiburadan gönül rahatligiyla alisveris yapabilirsiniz 2 adet j6 plas aldim 2 adet a7 2018 aldim son olarak 2 adet m20 aldim cumagünü siparis verdim cumartesi geldi cihazim icinde hediye olarak haviza karti cikmada samsung yolladi birinide bittibitiyor yolladi parasina göre cok ideal bir cihaz a20 mi m20 mi tabiki m20 derim,1
sade akıcı bi tasarımı var gayet kullanışlı pil ömrü standartın 2 katı,1
ürün yeni elime geçti telefondan memnun kaldımama çözüm konusunda hizmet sıfır,1
ürün harika ötesi güzel elimden düişmüyor harika bir cihaz üretmiş samsung sefer yapmış,1
fiyatperformans olarak değerlendirildiğinde gerçekten başarılı bir cihaz 5000 mah batarya sayesinde telefonu 2 gün şarja takmadan rahatlıkla kullanabiliyorum,1
indirime girince kaçırmadım siparişim hızla teslim edildi teşekkürler,1
telefon gayet güzel şarjı 2 gün rahat gidiyor 2 saat civarı bir sürede tam doluyor dokunmatiği baya hızlı veri indirme hızıda güzel kamerası normal denilebilir yalnız biriyle konuşurken ses dışardan duyulabiliyor düşüğe getiriyorum yine duyuluyoronun dışında on numara telefon,1
telefonu bugün aldım fiyatına göre iyi inşallah sıkıntı yaşamadan kullanırım,1
bir günde elime ulaştıpaketlenmesi harikatelefonum gayet güzelkullanması kurulumu kolayemeği geçen çalışanlara teşekkür ederim,1
ürün geldiğinde ekranında problem olduğunu farkettim samsung müşteri hizmetini aradım yardımcı olamadılar hepsiburada sorunumu çözdü telefonu iade aldı bende tekrardan sipariş verdim sefer sorunsuz geldi memnunum telefondan,1
telefonu hepsiburada firmasından almadım fakat size bütün si anlatacağım öncelikle bataryadan başlayacağım batarya 5000 mah olması gayet güzel lityum polimer pil olması kötü lityum polimer piller çabuk ölür bunu 1 günde max 1 şarj edebilirsiniz şarjda uğraşmamalısınız ram olarak bence gayet yeterli istediğiniz uygulamayı oyunu indirip oynayabilirsiniz depolama konusunda gayet iyi sd kart desteği gerçekten harika yeni nesil telefonlarda ince zarif olması sd karta yer verilmiyor telefon ince sd kart desteği var kamera olarak fotoğraflar videolar gerçekten harika samsungun kameraları zaten oldum olası müthiş performans veriyor yüz tanıma parmak izi okuyucusu olması harika olmuşhızlı şarj desteği olması gayet güzel 30 dakikada 48 şarj oluyor telefonlarda uygulama hata verdiğinde yanıt vermeyi kestiğinde telefonun arayüzü dönüyor kasıyor telefonda henüz öyle bir görmedim ekran büyüklüğü gayet yeterli istediğiniz filmi diziyi yüksek çözünürlükte izleyebilirsiniz yeni nesil ıpc ekran takmaları iyi olmuş donanıma bakınca fiyata böyle bir donanım takmışlar diyor insan bence kaçırılmayacak bir fırsat zahmet edip okuyan herkese teşekkür ederim,1
samsung türkiyenin kendi sitesi üzerinden peşin fiyatina 12 taksitle aldim bundan önce lg g4 kullaniyorum bataryasi kötüydü günde 3 şarj ediyordumm20 aldım bataryası içinsarj konusunu artık kafama takmıyorum batarya beni 2 gün götürüyor olsunparmak izi okuyucu hızlı yuz tanimada hızlı çalışıyor tavsiye ederim,1
telefonun hiçbir eksiği yok fazlası var fiyata böyle bir telefon varken m10 bile alınmaz,1
ürün güzel,1
iyi paraya,1
benim telefonum bozulunca acele pek araştırmadan m20 alayım dedim başka siteden bir hafta ürün göndermeyince iptal edip buradan indirimde aldım 4 gündür kullanıyorum fiyatına göre iyi şarjı hala bitmedi oyun oynuyorum sosyal medyaya giriyorum teşekkürler hepsiburada,1
babam aldık kurulumunu güncellemelerini hemen yaptık değil babam ben bile kullanabilirim telefonu beğendim iphone 6 kullanıcısıyım kargo güzel kutulanmıştı hızlıydı teşekkürler,1
fiyata telefon gerçekten iyi bataryası hızı ekranı gayet iyi olsun kesinlikle fiyatperformans ürünü pişman olmazsınız,1
fiyatı uygun geldi özelliklerine göre gayet ucuz tereddüt ederek alsam pişman olmadım,1
samsung türkiye den indirimde iken aldım memnun kaldım ürün ihtiyacımızı karşılıyor batarya iyi,1
bir iphone samsung kullanıcısı olarak diyebilirim ürün gayet başarılı samsung garantili ürünü alırken satıcının samsung olmasına dikkat ediniz benim aldığım ürün kampanyadan iyi fiyata geldi hemde ürün direk samsung dan siyah samsung orijinal kutusunun içinde geldi,1
güzel bir model tavsiye ederim herkese,1
telefonu babama aldım fp olarak bence 1 sırada ürün güzel paketlenmiş kargolanmış orijinal ürün,1
samsung turkiyeden satin aldim gayet guzel paketlenmis bir sekilde geldi telefon parasina guzel temel ihtiyaclari karsiliyor paraya iyisini beklememek lazim gayet guzel temiz bir cihaz tavsiye ederim kesinlikle,1
1 günde yozgattan hataya geldi hızlı kargo temiz alışveriş teşekkür ederim gsmport,1
urun güzel temiz geldi teşekkürler hbcom,1
bugün itibarıyla andorid 9 pie aldı,1
sayın ilgili öncesinden internet üzerinden önce alış veriş yapmamıştım ilk buradan yapıyorum ürünün ilgili firma tarafından özenle paketlenmiş olup samsunga özel kutusu gönderdiğiniz teşekkür ederim son olarak ilgili firma güvenilir sorumluluk bilinçi çalıştığınız teşekkür ederim saygılarımla,1
telefon güzel işe yarıyor oyun oynayan sosyal medyada takılan iyi bir telefon,1
telefon dün elime ulaştı herşeyiyle mükemmel bir cihaz önceden iphone 7 kullanmıştım aynı hissi hatta üstünü uyandırıyor kullanımda yüz tanıma parmak okuyucusu gayet hızlı işliyor kesinlikle tavsiye ederim şarjı gün kulandım hala yüzde 65 gün sonunda iki gün u rahat çıkartır 5000 map olsun,1
çarşamba günü sipariş verdim orda yaizıyor salı gunu gelcek hani 24 saate kargodaydı,1
kargo ilgili sorunumu ikiletmeden çözdüğünüz teşekkür ederim ürüne gelince tam bir fiyat performans ürünü tek kelime şahane,1
indirimle aldımgayet yeterli özellikleri fiyatına oranlatavsiye ederim,1
iyi bir telefon ozellikleri fiyatina gore mukemmel,1
benim batarya ömrü önemli sabah 800 dan akşam 2400 geldiğimde batarya 72gösteriyordu 17 saatte 28 sarj harcaması benim bir ayrıcalık teşekkürler ben memnunum,1
telefon güzel boyutu tam olarak ıphone 8 plusum kadar ekranı büyük anneme hediye olarak aldım bi tanıdığım abime cihazdan aldırdım oda gayet memnun 1 aylık kullanımdan sonra tavsiye ederim,1
telefonu kardeşim almıştım fiyatına göre beklentileri karşılıyor pubg indirdim denemelik düşük ayarlarda oynatıyor,1
beklediğimden iyi geldi telefon şarjı gerçekten bitmiyor günde yaklaşık 4 saat netflix izliyorum yalnızca 3 4 azaltıyor oyun desen aynı şekilde ekran güzel beklediğimden kaliteli geldi arka kapak pilastik hissi vermiyor artı bir yön parmak izi güzel hızlı çalışıyor kamerası bence yeterli fiyata alınacak iyi telefon net,1
urun iyi 5 gün oldu alalı batarya 5000 mah degil önce 4000 mah lik bir telefonum olmuştu ayni kullanımda şarj 5 gun gidiyordu bunda 3 gun gitti fiyata alınabilecek ürün ytd,1
güzel urun sağlam açılmamış ambalajı teslim edildi 1 günde,1
hız telefon süper teşekkürler,1
hız telefon süper teşekkürler,1
tavsiye ediyorum güzel telefon dayıma aldık sonra bir tane sipariş verdik şarjı 5000 ma olduğu uzun gidiyor başarılı,1
yorumları yazarken 1 haftaya yakındır ürünü kullandığımı belirteyimöncelikle ürünün marka değeri olduğunu unutmayın evet aynı fiyatlara performans sağlayacak telefonlar var elinizde patlama ihtimali birlikte geliyorlarikinci el piyasasını hesaba katmak gerekirbence üç kuruşa beş köfte bir cihaz kesinlikle vaad ediyorsa yerine getiriyor ilk şarjı bitsin 1 gün bekledim 40 falandı geldiğinde oyun oynamıyorum zaten oyun oynayacaksanız gidip bilgisayar toplayın fiyatlara mobil oyun muhabbetini anlamış değilim dolayısıyla sistem kaynakları oyun harici kullanımlara fazlasıyla yeter aktif mail sosyalmedya youtube kullanımı gayet iyi fotoğraf merakım yok ortalamanın üstünde bir kalitesi var arka kameranınözetle pubg oyunlar harici kullanımlar ideal an ekranı tek elle kullanmak biraz fazla büyük yüzüklü kılıflardan almanızı tavsiye ederim kargo hızı 1 hafta sonrasını göstermesine karşın 2 günde teslim edildi 32gb lık sd kart geldi fazlasıyla memnunum teşekkürler samsung tr,1
harika bir cihazambalajlama süper,1
samsung kalitesine güvendim tamdı ürün gelince kullanmaya başlayınca anlıyorsunuz zarif bir tasarımambalajı gayet sağlam yapmışlar kutu içinde kutu göndermişler paketleme özenliydikutu içerisinde 32 gb hafıza kartı varözellik olarak orta bir kullanıcı fazlası işinizi görürtavsiye ederim,1
guzel,1
